Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,49.224,49.239,49.254,49.27,49.285,49.3,49.315,49.33,49.346,49.361,49.376,49.391,49.407,49.422,49.437,49.452,49.468,49.483,49.498,49.513,49.528,49.544,49.559,49.574,49.589,49.605,49.62,49.635,49.65,49.665,49.681,49.696,50.002,50.412,50.823,51.233,51.644,52.054,52.464,52.873,53.283,53.661,54.028,54.394,54.76,55.125,55.489,55.853,56.217,56.579,56.941,57.06,57.043,57.01,56.959,56.892,56.808,56.707,56.589,56.454,56.303,56.134,55.948
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,85.43618957,85.18859002,84.93075101,84.6520244,84.35980521,84.05871752,83.74482326,83.42568964,83.10039178,82.76548189,82.4480332,82.12467897,81.7794651,81.43765801,81.12110122,80.7987948,80.47587528,80.13956242,79.78490375,79.44497789,79.12388765,78.83430994,78.55489416,78.21289317,77.8074643,77.3548948,76.85187198,76.34035077,75.82645065,75.31714988,74.79720147,74.35485395,73.9261261,73.49017685,73.05129114,72.66471181,72.37510267,72.08892778,71.79662469,71.51013215,71.22722006,70.92840919,70.61380972,70.30158065,69.9858519,69.65013149,69.32393449,69.06523361,68.6567587,68.2424738,67.81870901,67.38230803,66.9595264,66.52378832,66.06303737,65.57441631,65.10524743,64.64109932,64.15240222,63.66374063,63.17169763,62.67630116,62.17540747
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,91.599,91.316,91.024,90.724,90.414,90.096,89.767,89.43,89.082,88.725,88.357,87.979,87.59,87.191,86.781,86.359,85.926,85.483,85.027,84.558,84.005,83.438,82.853,82.253,81.635,81.003,80.353,79.686,79.002,78.912,78.823,78.734,78.645,78.556,78.466,78.376,78.286,78.195,78.105,78.014,77.922,77.831,77.739,77.647,77.5,77.297,77.093,76.887,76.68,76.472,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246,73.974,73.686,73.384
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,85.29460934,84.90987677,84.51592448,84.10240805,83.67079215,83.2213503,82.79204428,82.34752006,81.88904848,81.41799515,80.94728084,80.40662211,79.85024596,79.28367903,78.70505745,78.11687561,77.51233703,76.94601685,76.37922482,75.89966829,75.41490622,74.80742224,74.2021932,73.5915675,72.95070908,72.26887724,71.59500775,70.92935931,70.27453035,69.63454432,69.02945889,68.58967039,68.1625088,67.74087371,67.33373049,66.93271719,66.52592561,66.07219367,65.60670689,65.13648196,64.66295062,64.05509198,63.44511862,62.82668712,62.20102322,61.56551623,60.92069638,60.27840232,59.63946467,58.99848825,58.3528421,57.71170083,57.07411502,56.44590611,55.81982499,55.19413674,54.57493362,53.96052218,53.35057417,52.74458678,52.14216898,51.54519373,50.95261545
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,89.565,89.202,88.796,88.376,87.942,87.496,87.035,86.559,86.068,85.564,85.043,84.368,83.545,82.69,81.798,80.872,79.908,78.912,77.878,76.808,75.702,74.563,73.388,72.179,70.935,69.662,68.357,67.022,65.657,64.269,62.856,61.42,59.961,58.489,57,55.831,54.654,53.475,52.29,51.103,49.913,48.726,47.539,46.355,45.173,44,43.236,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,34.486,33.823,33.175,32.54,31.919
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,69.295,69.057,68.985,68.914,68.842,68.77,68.698,68.626,68.554,68.452,68.26,68.067,67.873,67.679,67.484,67.288,67.092,66.895,66.698,66.5,66.238,65.976,65.713,65.448,65.183,64.917,64.65,64.381,64.112,63.842,63.572,63.3,62.751,62.201,61.646,61.089,60.527,59.965,59.399,58.831,58.259,57.565,56.499,55.427,54.349,53.269,52.185,51.098,50.009,48.924,47.837,46.753,45.67,44.613,43.577,42.566,41.579,40.617,39.681,38.771,37.888,37.031,36.201
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,41.55,39.017,36.538,34.128,31.795,29.555,27.407,25.359,23.412,21.576,19.845,18.22,16.699,15.284,13.968,12.748,11.618,10.58,9.622,8.743,7.936,7.2,6.526,5.911,5.351,4.841,4.675,4.822,4.973,5.128,5.288,5.47,5.676,5.889,6.11,6.339,6.575,6.82,7.073,7.334,7.605,7.944,8.359,8.793,9.249,9.715,10.193,10.692,10.996,11.088,11.181,11.274,11.369,11.463,11.559,11.655,11.752,11.85,11.938,12.016,12.084,12.142,12.189
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,68.97783812,68.24532255,67.50516822,66.73850733,65.9462068,65.1170149,64.32674609,63.64237187,62.94295114,62.23288712,61.51845161,60.8309993,60.12890851,59.4337623,58.8022701,58.20124911,57.55553426,56.9339251,56.45818833,56.02823281,55.51620774,54.96567817,54.42883378,53.86122306,53.22353302,52.61033761,51.99468069,51.42483226,50.90019808,50.40491533,49.92558792,49.52882478,48.98097329,48.56519107,48.29758583,48.10149642,47.90807611,47.68382528,47.43799896,47.18947407,46.94400262,46.68819885,46.43356724,46.16983789,45.90447753,45.56477693,45.16569962,44.88033174,44.44070761,44.00324306,43.61958244,43.36200487,43.13577865,42.82202618,42.49273917,42.15384687,41.87674462,41.62871003,41.37042384,41.11618303,40.91238099,40.70511353,40.44252935
United Arab Emirates,ARE,Rural population (% of total population),SP.RUR.TOTL.ZS,26.5,25.617,24.752,23.907,23.081,22.277,21.492,20.728,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.097,19.894,19.691,19.49,19.29,19.317,19.534,19.753,19.974,20.196,20.376,20.518,20.661,20.804,20.949,21.094,21.24,21.386,21.533,21.681,21.507,21.062,20.622,20.19,19.764,19.345,18.933,18.528,18.129,17.738,17.352,16.977,16.613,16.258,15.913,15.577,15.251,14.934,14.625,14.326,14.035,13.752,13.478,13.211,12.952,12.701,12.457
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,26.389,25.783,25.233,24.691,24.156,23.631,23.112,22.602,22.099,21.606,21.12,20.679,20.257,19.842,19.433,19.031,18.634,18.245,17.861,17.484,17.113,16.687,16.241,15.806,15.379,14.962,14.555,14.157,13.767,13.387,13.016,12.672,12.458,12.248,12.04,11.836,11.634,11.436,11.241,11.048,10.858,10.671,10.49,10.314,10.14,9.969,9.8,9.634,9.47,9.309,9.151,9.01,8.879,8.751,8.623,8.497,8.373,8.251,8.13,8.009,7.889,7.771,7.653
