Location,Year,Value,rural pop,urban pop,electric_rural,electric_urban
AUS,1960,180212.25889755905,18.471,81.529,33287.00634096813,146925.25255659092
AUS,1961,180212.25889755905,18.059,81.941,32544.53183431019,147667.72706324887
AUS,1962,180212.25889755905,17.772,82.22800000000001,32027.322651274193,148184.93624628487
AUS,1963,180212.25889755905,17.489,82.511,31517.321958594104,148694.93693896494
AUS,1964,180212.25889755905,17.208,82.792,31010.92551109196,149201.33338646707
AUS,1965,180212.25889755905,16.932,83.068,30513.539676534696,149698.71922102434
AUS,1966,180212.25889755905,16.66,83.34,30023.362332333338,150188.8965652257
AUS,1967,180212.25889755905,16.493,83.507,29722.407859974413,150489.85103758465
AUS,1968,180212.25889755905,16.328,83.672,29425.05763279344,150787.2012647656
AUS,1969,180212.25889755905,16.164,83.836,29129.509528201444,151082.7493693576
AUS,1970,180212.25889755905,16.001,83.999,28835.763546198425,151376.49535136062
AUS,1971,180212.25889755905,15.84,84.16,28545.62180937335,151666.6370881857
AUS,1972,180212.25889755905,15.68,84.32,28257.282195137257,151954.9767024218
AUS,1973,180212.25889755905,15.522,84.478,27972.546826079113,152239.71207147994
AUS,1974,180212.25889755905,15.364,84.636,27687.811457020973,152524.4474405381
AUS,1975,180212.25889755905,15.208,84.792,27406.68033314078,152805.57856441828
AUS,1976,180212.25889755905,15.053,84.947,27127.351331849564,153084.9075657095
AUS,1977,180212.25889755905,14.9,85.1,26851.626575736296,153360.63232182275
AUS,1978,180212.25889755905,14.748,85.252,26577.703942212007,153634.55495534703
AUS,1979,180212.25889755905,14.597,85.403,26305.583431276693,153906.67546628235
AUS,1980,180212.25889755905,14.448,85.55199999999999,26037.06716551933,154175.1917320397
AUS,1981,180212.25889755905,14.3,85.7,25770.353022350948,154441.9058752081
AUS,1982,180212.25889755905,14.33,85.67,25824.416700020214,154387.84219753885
AUS,1983,180212.25889755905,14.359,85.641,25876.6782551005,154335.58064245855
AUS,1984,180212.25889755905,14.389,85.611,25930.741932769768,154281.51696478928
AUS,1985,180212.25889755905,14.418,85.582,25983.003487850063,154229.25540970897
AUS,1986,180212.25889755905,14.448,85.55199999999999,26037.06716551933,154175.1917320397
AUS,1987,180212.25889755905,14.478,85.522,26091.1308431886,154121.12805437046
AUS,1988,180212.25889755905,14.507,85.493,26143.39239826889,154068.86649929016
AUS,1989,180212.25889755905,14.537,85.463,26197.45607593816,154014.80282162086
AUS,1990,180212.25889755905,14.567,85.43299999999999,26251.519753607427,153960.73914395162
AUS,1991,180212.25889755905,14.597,85.403,26305.583431276693,153906.67546628235
AUS,1992,180212.25889755905,14.715,85.285,26518.233896775815,153694.02500078324
AUS,1993,180212.25889755905,14.843,85.157,26748.90558816469,153463.35330939436
AUS,1994,180212.25889755905,14.972,85.028,26981.37940214254,153230.8794954165
AUS,1995,180212.25889755905,15.102,84.898,27215.65533870937,152996.60355884966
AUS,1996,180212.25889755905,15.233,84.767,27451.73339786517,152760.52549969387
AUS,1997,180212.25889755905,15.364,84.636,27687.811457020973,152524.4474405381
AUS,1998,180212.25889755905,15.497,84.503,27927.493761354726,152284.7651362043
AUS,1999,180212.25889755905,15.63,84.37,28167.17606568848,152045.08283187056
AUS,2000,180212.25889755905,15.765,84.235,28410.462615200187,151801.79628235888
AUS,2001,180212.25889755905,15.9,84.1,28653.749164711888,151558.50973284716
AUS,2002,180212.25889755905,15.778,84.222,28433.89020885687,151778.36868870218
AUS,2003,180212.25889755905,15.657,84.343,28215.833375590817,151996.42552196822
AUS,2004,180212.25889755905,15.537,84.463,27999.57866491375,152212.6802326453
AUS,2005,180212.25889755905,15.418,84.582,27785.12607682565,152427.1328207334
AUS,2006,180212.25889755905,15.3,84.7,27572.475611326532,152639.7832862325
AUS,2007,180212.25889755905,15.178,84.822,27352.616655471513,152859.64224208752
AUS,2008,180212.25889755905,15.057,84.943,27134.55982220547,153077.6990753536
AUS,2009,180212.25889755905,14.937,85.063,26918.305111528396,153293.95378603064
AUS,2010,180212.25889755905,14.818,85.182,26703.852523440302,153508.40637411876
AUS,2011,180212.25889755905,14.7,85.3,26491.20205794118,153721.05683961787
AUS,2012,180212.25889755905,14.598,85.402,26307.385553865668,153904.87334369338
AUS,2013,180212.25889755905,14.498,85.502,26127.17329496811,154085.08560259093
AUS,2014,180212.25889755905,14.398,85.602,25946.961036070552,154265.2978614885
AUS,2015,105209.8117405583,14.299,85.701,15043.950980782432,90165.86075977587
AUS,1960,180212.25889755905,18.471,81.529,33287.00634096813,146925.25255659092
AUS,1961,180212.25889755905,18.059,81.941,32544.53183431019,147667.72706324887
AUS,1962,180212.25889755905,17.772,82.22800000000001,32027.322651274193,148184.93624628487
AUS,1963,180212.25889755905,17.489,82.511,31517.321958594104,148694.93693896494
AUS,1964,180212.25889755905,17.208,82.792,31010.92551109196,149201.33338646707
AUS,1965,180212.25889755905,16.932,83.068,30513.539676534696,149698.71922102434
AUS,1966,180212.25889755905,16.66,83.34,30023.362332333338,150188.8965652257
AUS,1967,180212.25889755905,16.493,83.507,29722.407859974413,150489.85103758465
AUS,1968,180212.25889755905,16.328,83.672,29425.05763279344,150787.2012647656
AUS,1969,180212.25889755905,16.164,83.836,29129.509528201444,151082.7493693576
AUS,1970,180212.25889755905,16.001,83.999,28835.763546198425,151376.49535136062
AUS,1971,180212.25889755905,15.84,84.16,28545.62180937335,151666.6370881857
AUS,1972,180212.25889755905,15.68,84.32,28257.282195137257,151954.9767024218
AUS,1973,180212.25889755905,15.522,84.478,27972.546826079113,152239.71207147994
AUS,1974,67938.0,15.364,84.636,10437.99432,57500.00568
AUS,1975,71823.0,15.208,84.792,10922.84184,60900.15816
AUS,1976,74710.0,15.053,84.947,11246.0963,63463.9037
AUS,1977,80257.0,14.9,85.1,11958.293,68298.707
AUS,1978,83436.0,14.748,85.252,12305.14128,71130.85871999999
AUS,1979,88152.0,14.597,85.403,12867.547439999998,75284.45256
AUS,1980,92468.0,14.448,85.55199999999999,13359.77664,79108.22335999999
AUS,1981,99217.0,14.3,85.7,14188.031,85028.969
AUS,1982,99929.0,14.33,85.67,14319.825700000001,85609.1743
AUS,1983,100625.0,14.359,85.641,14448.74375,86176.25625
AUS,1984,106374.0,14.389,85.611,15306.154859999999,91067.84514
AUS,1985,114295.0,14.418,85.582,16479.0531,97815.9469
AUS,1986,119102.0,14.448,85.55199999999999,17207.85696,101894.14304
AUS,1987,125291.0,14.478,85.522,18139.630979999998,107151.36902000001
AUS,1988,131163.0,14.507,85.493,19027.81641,112135.18359
AUS,1989,139174.0,14.537,85.463,20231.72438,118942.27561999999
AUS,1990,144926.0,14.567,85.43299999999999,21111.37042,123814.62958
AUS,1991,147121.0,14.597,85.403,21475.25237,125645.74763000001
AUS,1992,149306.0,14.715,85.285,21970.3779,127335.6221
AUS,1993,153420.0,14.843,85.157,22772.1306,130647.8694
AUS,1994,157232.0,14.972,85.028,23540.77504,133691.22496
AUS,1995,162402.0,15.102,84.898,24525.950040000003,137876.04996
AUS,1996,166640.0,15.233,84.767,25384.2712,141255.72879999998
AUS,1997,171912.0,15.364,84.636,26412.55968,145499.44032
AUS,1998,183015.0,15.497,84.503,28361.83455,154653.16545
AUS,1999,190064.0,15.63,84.37,29707.0032,160356.9968
AUS,2000,195402.0,15.765,84.235,30805.125300000003,164596.87470000001
AUS,2001,206772.0,15.9,84.1,32876.748,173895.252
AUS,2002,213004.0,15.778,84.222,33607.77112,179396.22887999998
AUS,2003,208673.0,15.657,84.343,32671.931609999996,176001.06839
AUS,2004,215985.0,15.537,84.463,33557.58945,182427.41055
AUS,2005,214526.0,15.418,84.582,33075.61868,181450.38132
AUS,2006,218390.0,15.3,84.7,33413.67,184976.33
AUS,2007,227066.0,15.178,84.822,34464.07748,192601.92252
AUS,2008,228073.0,15.057,84.943,34340.951610000004,193732.04839
AUS,2009,232142.0,14.937,85.063,34675.050540000004,197466.94946
AUS,2010,237420.0,14.818,85.182,35180.8956,202239.1044
AUS,2011,240877.0,14.7,85.3,35408.918999999994,205468.081
AUS,2012,236814.0,14.598,85.402,34570.10772,202243.89228
AUS,2013,235872.0,14.498,85.502,34196.72256,201675.27744
AUS,2014,233468.0,14.398,85.602,33614.72264,199853.27736
AUS,2015,105209.8117405583,14.299,85.701,15043.950980782432,90165.86075977587
AUT,1960,180212.25889755905,35.28,64.72,63578.88493905883,116633.37395850022
